step,lr-AdamW,valid_loss,epoch,train_loss
24821,,0.11678820848464966,62,
24821,,,62,0.07188991457223892
24822,0.0009529968130563586,,,
25215,,0.09471064805984497,63,
25215,,,63,0.07188486307859421
25216,0.0009488987024250581,,,
25609,,0.0945792943239212,64,
25609,,,64,0.07253874838352203
25610,0.0009446395802686664,,,
26003,,0.09340652823448181,65,
26003,,,65,0.07350442558526993
26004,0.0009402210885598504,,,
26397,,0.09643864631652832,66,
26397,,,66,0.07320791482925415
26398,0.0009356449307112741,,,
26791,,0.13752561807632446,67,
26791,,,67,0.0860365554690361
26792,0.0009309128709188992,,,
27185,,0.13608556985855103,68,
27185,,,68,0.1224452406167984
27186,0.0009260267334818544,,,
27579,,0.11436482518911362,69,
27579,,,69,0.10846546292304993
27580,0.0009209884020991337,,,
27973,,0.10557147115468979,70,
27973,,,70,0.09120826423168182
27974,0.0009157998191433943,,,
28367,,0.11199960112571716,71,
28367,,,71,0.08972862362861633
28368,0.0009104629849121344,,,
28761,,0.10533107072114944,72,
28761,,,72,0.0832424983382225
28762,0.0009049799568565419,,,
29155,,0.1159982904791832,73,
29155,,,73,0.08287493139505386
29156,0.0008993528487883061,,,
29549,,0.1005827784538269,74,
29549,,,74,0.08341895043849945
29550,0.0008935838300647041,,,
29943,,0.10356882214546204,75,
29943,,,75,0.0884648934006691
29944,0.0008876751247522728,,,
30337,,0.1008436381816864,76,
30337,,,76,0.07910006493330002
30338,0.0008816290107693868,,,
30731,,nan,77,
30731,,,77,0.07738005369901657
30732,0.0008754478190080798,,,
31125,,nan,78,
31125,,,78,nan
31126,0.0008691339324354403,,,
